income,race,sex
20000,W,Male
40000,W,Male
50000,W,Male
18000,B/AA,Female
105500,W,Male
33000,W,Male
65000,W,Female
6400,W,Female
44000,W,Female
8200,W,Female
55000,W,Female
40000,W,Female
33000,W,Male
84620,W,Male
74500,W,Male
7200,W,Male
50000,W,Female
5200,Native Am.,Female
12400,W,Female
41600,W,Female
5000,W,Male
40000,W,Male
20000,W,Male
62000,W,Male
80500,W,Male
120020,W,Male
24000,B/AA,Male
33300,W,Male
30000,W,Male
44800,W,Male
24000,W,Female
50000,W,Male
25000,B/AA,Female
80000,W,Male
22920,W,Female
90000,W,Male
59000,W,Male
25000,W,Male
67000,W,Female
135010,W,Male
63000,W,Female
30000,W,Male
33000,W,Female
57000,W,Female
65000,W,Male
62000,W,Female
30000,W,Female
68000,W,Male
58000,W,Male
65000,W,Male
75000,W,Male
40000,B/AA,Female
40000,Multi,Male
22000,W,Female
45000,B/AA,Male
31000,B/AA,Female
8500,W,Female
34000,W,Female
50000,B/AA,Male
17000,W,Male
117000,W,Male
33000,W,Male
391000,W,Male
40000,W,Female
16800,W,Male
40000,W,Female
12000,W,Female
40500,B/AA,Female
75000,W,Male
32000,W,Male
129000,W,Female
32400,W,Male
30000,W,Male
24000,W,Female
15000,W,Female
79030,W,Female
30000,W,Female
80000,W,Male
90000,W,Female
140000,W,Male
30000,W,Male
8200,W,Female
2700,W,Male
32000,W,Male
78000,B/AA,Female
6000,W,Female
75000,W,Male
42000,W,Male
9500,Multi,Male
44000,W,Male
105000,W,Male
60000,W,Male
105000,W,Female
21000,W,Male
40000,W,Female
29100,W,Female
17500,A/P,Male
43000,B/AA,Female
30000,W,Female
20000,W,Male
60000,W,Male
110000,W,Male
44000,B/AA,Female
22000,B/AA,Female
419000,W,Male
20000,W,Female
12000,Multi,Male
72000,W,Female
200000,W,Female
44000,W,Female
10300,W,Female
32000,B/AA,Female
18000,B/AA,Male
8000,B/AA,Female
20800,W,Male
43800,W,Male
122000,W,Male
18200,W,Female
22000,W,Female
143100,W,Male
3800,W,Male
96600,W,Male
98000,W,Male
36550,Native Am.,Male
9010,B/AA,Male
54000,B/AA,Female
55000,W,Male
56400,A/P,Female
3000,Multi,Female
42100,Native Am.,Male
34800,Native Am.,Female
42100,W,Male
24200,W,Male
25000,W,Female
48700,W,Female
165000,W,Male
64000,W,Male
39120,Native Am.,Male
21800,W,Male
28000,W,Female
50000,W,Female
300,W,Female
16000,Multi,Female
12000,W,Female
47000,A/P,Female
24000,W,Male
60000,W,Female
75000,W,Female
50000,Multi,Male
50000,W,Male
28000,A/P,Female
59000,W,Female
22000,B/AA,Female
10000,W,Female
35000,A/P,Female
60000,W,Male
88100,W,Male
65000,W,Female
20000,Native Am.,Female
130000,W,Male
148000,W,Male
32000,W,Female
37500,W,Female
165000,A/P,Male
38000,W,Female
60000,W,Female
82000,W,Male
9000,W,Female
27000,W,Female
24400,W,Female
